EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r--/---] r--/--- (r-x/r--) r--/---
[r-x/r--] r-x/r-x (r-x/r--) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r--) r-x/r--
[r--/r--] r--/r-x (r-x/r--) r--/r-x
[r--/r--] r--/r-- (r-x/r--) r--/r--
[r--/--x] rwx/--x (r--/r-x) rwx/--x
[r--/---] rwx/--- (r--/r-x) rwx/---
[r--/--x] rw-/--x (r--/r-x) rw-/--x
[r--/---] rw-/--- (r--/r-x) rw-/---
[r--/r-x] rwx/rwx (r--/r-x) rw-/rwx
[r--/r--] rwx/rw- (r--/r-x) rw-/rw-
[r--/r-x] rw-/rwx (r--/r-x) rw-/rwx
[r--/r--] rw-/rw- (r--/r-x) rw-/rw-
[r--/--x] r-x/--x (r--/r-x) r-x/--x
[r--/---] r-x/--- (r--/r-x) r-x/---
[r--/--x] r--/--x (r--/r-x) r--/--x
[r--/---] r--/--- (r--/r-x) r--/---
[r--/r-x] r-x/r-x (r--/r-x) r-x/r-x
[r--/r--] r-x/r-- (r--/r-x) r-x/r--
[r--/r-x] r--/r-x (r--/r-x) r--/r-x
[r--/r--] r--/r-- (r--/r-x) r--/r--
[r--/---] rwx/--x (r--/r--) rwx/--x
[r--/---] rwx/--- (r--/r--) rwx/---
[r--/---] rw-/--x (r--/r--) rw-/--x
[r--/---] rw-/--- (r--/r--) rw-/---
[r--/r--] rwx/rwx (r--/r--) rw-/rwx
[r--/r--] rwx/rw- (r--/r--) rw-/rw-
[r--/r--] rw-/rwx (r--/r--) rw-/rwx
[r--/r--] rw-/rw- (r--/r--) rw-/rw-
[r--/---] r-x/--x (r--/r--) r-x/--x
[r--/---] r-x/--- (r--/r--) r-x/---
[r--/---] r--/--x (r--/r--) r--/--x
[r--/---] r--/--- (r--/r--) r--/---
[r--/r--] r-x/r-x (r--/r--) r-x/r-x
[r--/r--] r-x/r-- (r--/r--) r-x/r--
[r--/r--] r--/r-x (r--/r--) r--/r-x
[r--/r--] r--/r-- (r--/r--) r--/r--
[r-x/--x] rwx/--x (r-x/--x) rwx/--x
[r-x/---] rwx/--- (r-x/--x) rwx/---
[r--/--x] rw-/--x (r-x/--x) rw-/--x
[r--/---] rw-/--- (r-x/--x) rw-/---
[r-x/--x] rwx/rwx (r-x/--x) rw-/rwx
[r-x/---] rwx/rw- (r-x/--x) rw-/rw-
